id;created_at;text;sensitive;place_id;user_id
1344560508712742912;2020-12-31T08:26:20.000Z;Wiz is magical and exceptional, but this man Davido is outstanding.  Fucking truth... No Cap;false; ;971444259810406405
1344560508721131522;2020-12-31T08:26:20.000Z;@Daavi_aku_ Want to be like you;false; ;492265592
1344560508725325824;2020-12-31T08:26:20.000Z;@spitslut_ Why is yhe slave drawing built like that😭I CSNT BREATHEGWJFHHF;false; ;1108379587627618304
1344560508700139520;2020-12-31T08:26:20.000Z;@Unfortunate__ly i believe so;false; ;1276626678769496066
1344560508725293056;2020-12-31T08:26:20.000Z;@quackity4k i'm still so proud of you man you've grown so much this year and helped me through a lot too so thanks for that and in general thanks for everything and making so much content for us   appreciate you man love ya &lt,33;false; ;1263047454506782721
1344560508712546305;2020-12-31T08:26:20.000Z;@payal_trustable New year party jorme phir🍺❤️😜;false; ;2896674800
1344560508725153792;2020-12-31T08:26:20.000Z;karyn i love youuu!!! 💗💗💗💗;false; ;1050711187
1344560508708392960;2020-12-31T08:26:20.000Z;@bvyjunn THANK YOU iKON  #아이콘_2020_수고많이했어 @YG_iKONIC #iKON #아이콘;false; ;1273966286385496066
1344560508737789952;2020-12-31T08:26:20.000Z;cries https://t.co/JnQIsgD1H2;false; ;1187049641965019136
1344560512894439428;2020-12-31T08:26:21.000Z;@shawnsworldduh i LOVEE it;false; ;1236864467620823042
1344560512902819841;2020-12-31T08:26:21.000Z;@MbalulaFikile If the president can communicate with the country Via video/ TV broadcast why can't you. This is a waste of money that is already not there and you want to be Beyonce and fly around for a mere speach;false; ;1154134907884625920
1344560512911065088;2020-12-31T08:26:21.000Z;@haruharu_w_bts @BTS_twt He is still a baby;false; ;1276823766639669249
1344560512894455809;2020-12-31T08:26:21.000Z;@HourlyNazunii 4th Anniversary https://t.co/5CvZNzu4qo;false; ;1107046783753117697
1344560512919592960;2020-12-31T08:26:21.000Z;No #AttackOnTitan untill the 10th and no #JujutsuKaisen tomorrow... https://t.co/FbUvrCfFbk;false; ;1250683379709870081
1344560512911069184;2020-12-31T08:26:21.000Z;@walfianpram HM HM BOBAAAA;false; ;1318505357610610688
1344560512907042816;2020-12-31T08:26:21.000Z;This is how we should be celebrating  New Year's today https://t.co/UKnc1z3mAa;false; ;1330081777453555713
1344560512894287874;2020-12-31T08:26:21.000Z;A poem of I Told Sunset About You #BKPPbestof2020 https://t.co/t4FNHZZBSu;false; ;1310495454384148480
1344560517092880385;2020-12-31T08:26:22.000Z;@BasedImmigrant @liz_1851 @AndyFra23153204 @marclamonthill You are stupid;false; ;770587700
1344560517118124032;2020-12-31T08:26:22.000Z;@dodgerdawg_ @AlixxaPlays Vouch literally the exact same here man exact same;false; ;1305633589594333186
1344560517109706753;2020-12-31T08:26:22.000Z;@MissStanleyYr6 https://t.co/K4zBgMJ91K  but we are not the problem .......;false; ;2242629912
1344560517088624641;2020-12-31T08:26:22.000Z;If she has multiple spams,leave her!💔;false; ;1282406142518362113
1344560517101223936;2020-12-31T08:26:22.000Z;2020 Best Nine🌈👁💕  Thank you so much for supporting me in this tumultuous year! I hope this social situation gets better sooner!!!  Have a Happy New Year💖  #bestnine2020 #bestnine #TopNine2020 #topnine #illustration https://t.co/nLFKk5fIg0;false; ;98171429
1344560521295630336;2020-12-31T08:26:23.000Z;But I know Cause you said I've been holding back beers I'm not enough, but I still stay the same So tell me every day, I'm;false; ;1228150388173524993
1344560521304018945;2020-12-31T08:26:23.000Z;@ErinSutherlan14 @SPORTBETTINGMAN @robbystarbuck Maybe we need to break the habit of buying things we don't need, fixing things rather than tossing because they can cheaply be replaced. Just a thought.;false; ;755599694424748032
1344560521283067904;2020-12-31T08:26:23.000Z;Toward better #DigitalMarketing #digital #marketing via https://t.co/cBj7YRwrst https://t.co/IBUrf9p2So;false; ;776724971502444544
1344560521283055616;2020-12-31T08:26:23.000Z;🔑player. https://t.co/Dnn1o5Vftv;false; ;460311826
1344560521304006657;2020-12-31T08:26:23.000Z;Ray Villafane/Sue Beatrice create amazing sand sculpture of a chess match between an elephant and a mouse https://t.co/kcE43VRp45;false; ;2682105606
1344560521303920640;2020-12-31T08:26:23.000Z;@Sukmawa56612462 Waalaikumsalam. Makin cantik awak. Have a happy and great year ahead.;false; ;459231209
1344560521312313344;2020-12-31T08:26:23.000Z;Please fix Zen's Toybot skin, its so painful to watch it move;false; ;711988251003715584
1344560521320624129;2020-12-31T08:26:23.000Z;@MiaMalkova Big ass mam;false; ;1278257714712375296
1344560521291317248;2020-12-31T08:26:23.000Z;brb gon cry because this boys saved my 2020 https://t.co/RC1ufiU7U6;false; ;1210225709332848641
1344560525494116355;2020-12-31T08:26:24.000Z;Here's to spending the entirety of 2021 off sertraline. I've made it almost 7 months now :);false; ;1146066513247391747
1344560525481549824;2020-12-31T08:26:24.000Z;@jrdn1x Lowkey facts, the only thing I’d change is 2019, it was decent.;false; ;1284766766674128897
1344560525494128640;2020-12-31T08:26:24.000Z;@prouemer51391 When i go in your direction it just says: 'Royale High insanity support'?;false; ;1344559414183940096
1344560525515100160;2020-12-31T08:26:24.000Z;@SewaHerself Morning ma  Hope you slept well;false; ;1208641462168178689
1344560525477367809;2020-12-31T08:26:24.000Z;@profshanecrotty @MarionKoopmans Sounds worrisome.;false; ;221811505
1344560525502459905;2020-12-31T08:26:24.000Z;@haruharu_w_bts @BTS_twt he will always be baby no matter what;false; ;1320057537509662720
1344560525502521344;2020-12-31T08:26:24.000Z;@Reddevil979 @donsuule @premierleague Sum up ur titles;false; ;1136381560402468867
