tweet_id;mentioned_user_id
1344560508721131522;985527877348274177
1344560508725325824;1184288617662963714
1344560508700139520;1334178497770655744
1344560508725293056;1169025294642102274
1344560508712546305;1034660070565400576
1344560508708392960;1095969477416472576
1344560508708392960;3504585734
1344560512894439428;1293991190786904064
1344560512902819841;2382362052
1344560512911065088;926680717286715392
1344560512911065088;335141638
1344560512894455809;1317798411316252672
1344560512911069184;1007929203755343872
1344560517092880385;3420848757
1344560517092880385;1267855377556701190
1344560517092880385;1336306487128276997
1344560517092880385;20068679
1344560517118124032;1329120239565615113
1344560517118124032;1019114442150305792
1344560517109706753;1045755571117465600
1344560521304018945;783488400858968064
1344560521304018945;1514609424
1344560521304018945;16523905
1344560521303920640;1260818831938732032
1344560521320624129;709095240
1344560525481549824;1248135623141216256
1344560525494128640;1280982164499247104
1344560525515100160;755694230601920512
1344560525477367809;712012171031420928
1344560525477367809;330164748
1344560525502459905;926680717286715392
1344560525502459905;335141638
1344560525502521344;1312272945373351937
1344560525502521344;1320401626432212992
1344560525502521344;343627165
1344560525514997760;1283841890295574528
1344560525514997760;1059327333532749824
1344560525514997760;1083198663424237569
1344560529684230145;2655076560
1344560529701036033;1290708017063829504
1344560529701036033;1282793209312272386
1344560529679941633;1302827068405805056
1344560529700868096;1052166019932966912
1344560529709285376;3410640467
1344560529709285376;703481138
1344560533903712256;4159641617
1344560533874343937;1218145556431802368
1344560533886926850;288220068
1344560533886926850;1268563278449516548
1344560533886926850;1226405692283723776
1344560533886926850;1627077426
1344560533886926850;353709352
1344560533886926850;1226961881769893890
1344560533886926850;1114517276663984128
1344560533886926850;1222104446433472517
1344560533899419650;1219685313615781888
1344560533899419650;1342941047027019776
1344560533878362113;806526268015513604
1344560538098016261;1309323494375731204
1344560538098032640;376759677
1344560538093719552;16663973
1344560538093719552;1159657291
1344560538093719552;1572187795
1344560542262943749;266010173
1344560542275559426;1237872946221203456
1344560542283915264;1214969855193100295
1344560542271287296;961457101628325889
1344560542267150337;1247963364929597440
1344560542267150337;17494010
1344560542275420160;1135987028611350528
1344560542275420160;1335979010417889289
1344560542275420160;1313683293162872834
1344560546469867522;1339121273369051136
1344560546465529857;30381740
1344560546465517574;1340701642040045573
1344560546461278209;119426730
1344560550643195906;394683431
1344560550647377921;91851084
1344560554837422080;1339972741508820994
1344560554866708481;1311010260904275970
1344560554870939648;427089628
1344560554875052033;1006064993282842624
1344560559040159744;870398814
1344560559040159744;992072645494665216
1344560559040159744;236376883
1344560559048581123;68217209
1344560559040114689;365945721
1344560559065235456;1334316528892661761
1344560559065235456;4676418020
1344560559065235456;1272373782921920513
1344560567420407811;477567612
1344560571631472640;1169025294642102274
1344560571635515392;1208561023621287936
1344560571635515392;1006064993282842624
1344560571635515392;1214498212322504704
1344560575825625088;1240958152855547904
1344560575846567936;853080505280942080
1344560575846567936;3504585734
1344560580041068544;2470200235
1344560580015902720;2282608831
1344560580015902720;372453701
1344560580015910913;48317727
1344560580015910913;2919449914
1344560580015910913;194919895
1344560580011696130;1212641474711441409
1344560580040994816;369560133
1344560580040994816;19290942
1344560580015788033;1209112005912588289
1344560580015788033;1051041512920936448
1344560580015788033;3133996860
1344560584206016513;4844701949
1344560584206016513;143211279
1344560584235364352;821644302
1344560584226816001;1250940549567135744
1344560584226816001;1298240553050607623
1344560584197476352;775233102
1344560588425453569;705709976501817348
1344560588408586240;856378050337951744
1344560588421124099;197559970
1344560588400128006;4713204560
1344560588400128006;4833999259
1344560588400168961;44854299
1344560588400168961;15300222
1344560592590352385;1326973280184651782
1344560592594595841;1199343124360912896
1344560592611397632;1128744102130962432
1344560592607014913;1075927117
1344560592586211329;1678244364
1344560592607039490;1099487876373372929
1344560596793110534;3079429669
1344560596814094341;1295637662121046018
1344560600999976960;1052160384457723904
1344560600999976960;872683897
1344560600983199744;932868035706310657
1344560600983199744;1248081767317323778
1344560601012420608;1273880635338133505
1344560600978837504;1242259191391064064
1344560605202681858;1321368191709446144
1344560605181706240;1343703235006230531
1344560605185732608;1169917451586326528
1344560609401180160;1307488265788960773
1344560609397002242;4889595876
1344560609397002242;1198256202507071488
1344560609397002242;981807234
1344560609397002242;1183397540793729024
1344560609397002242;1141870026439516161
1344560609401184256;1056163917855162368
1344560613561954311;1329188249550675972
1344560613574512640;1228903054872702978
1344560613574512640;1278857457138204673
1344560613591289857;1205201484624941057
